model,cv_RMSE_mean,cv_RMSE_std,cv_MAE_mean,cv_R2_mean,test_RMSE,test_MAE,test_R2,test_MAPE,train_time_s
XGBoost,86.7839599609375,2.0545459873339578,48.87838363647461,0.45270867347717286,85.05432547054853,48.868202209472656,0.44549888372421265,0.36573925614356995,19.933513402938843
ExtraTrees,88.11979266930379,1.8834651537047746,49.515193755273195,0.4356101979190635,85.07355026731426,48.861451674058266,0.4452481822143669,0.3694451697496071,66.63562178611755
RandomForest,87.75571790596788,1.9383740820037447,49.440361648256115,0.44030231205797127,85.63557947382927,48.89686766445932,0.4378941546555978,0.3688969178853431,195.87479901313782
GradientBoosting,89.93921519850815,2.4943709499502407,50.788102221609286,0.4122338355555413,87.55129342738874,50.44748240235944,0.4124636339331934,0.37876950115383134,67.89058828353882
MLP (reseau de neurones),91.24493120245407,2.292868172494043,52.001507575198715,0.39495360999681295,88.45875063937932,51.2963608344205,0.4002210461116096,0.38448405546496084,129.1975302696228
KNN,92.1610544127356,2.3689025624388136,52.53335915533033,0.382844255950855,89.22437867504787,52.18231039470965,0.3897937035292254,0.3995064350345761,11.512723684310913
SVR,94.77399530948628,2.8658774191320058,48.559977277955426,0.317436029314284,93.2047704715705,47.275635493088096,0.33413543715227567,0.3043089908777621,23.841844081878662
DecisionTree,97.300920688741,3.4702757706069685,52.949648104720744,0.31204059252843397,93.58629302631236,51.84665278750601,0.32867300655365206,0.3833662746240441,2.88613224029541
LinearRegression,95.94945492890278,2.495309054095903,56.38816008988425,0.33100601526552503,93.64538212059516,56.378041012755254,0.327825005726309,0.44984421942243236,13.397083520889282
Ridge,95.94941894994727,2.495415444066281,56.38759075484795,0.3310065560106401,93.64541746685732,56.377591304039235,0.3278244983039993,0.44984834679923114,9.359874725341797
Lasso,96.25336106147373,2.5407295560922023,56.311143950833966,0.32677936518378325,93.95263994234833,56.299650152336184,0.3234068520039568,0.4556619551577381,1.0447454452514648
ElasticNet,100.64050076102535,2.597120765631918,60.505490822590176,0.2640434451875529,98.08236414760003,59.869837094805,0.26261980192839285,0.5430198804703165,0.8153727054595947
