,count,unique,top,freq,mean,std,min,25%,50%,75%,max
id,48389.0,,,,18992354.655603547,10982521.586846218,2539.0,9452728.0,19637278.0,29126674.0,36487245.0
neighbourhood_group,48389,5,Manhattan,21452,,,,,,,
neighbourhood,48389,221,Williamsburg,3903,,,,,,,
latitude,48389.0,,,,40.729033033953996,0.05442719175930455,40.49979,40.69017,40.72309,40.76316,40.91306
longitude,48389.0,,,,-73.95217609022711,0.04605701165544486,-74.24442,-73.98303,-73.95567,-73.93639,-73.71299
room_type,48389,3,Entire home/apt,25186,,,,,,,
price,48389.0,,,,141.9101242017814,116.72185275057193,27.0,69.0,106.0,175.0,1000.0
log_price,48389.0,,,,4.731850098880187,0.6532764161578004,3.332204510175204,4.248495242049359,4.672828834461906,5.170483995038151,6.90875477931522
minimum_nights,48389.0,,,,6.78085928620141,16.092290499018866,1.0,1.0,3.0,5.0,365.0
number_of_reviews,48389.0,,,,23.40837793713447,44.71031117477044,0.0,1.0,5.0,24.0,629.0
reviews_per_month,48389.0,,,,1.0951637768914422,1.5998586275263047,0.0,0.04,0.38,1.59,58.5
calculated_host_listings_count,48389.0,,,,7.180619562297216,33.10599352328005,1.0,1.0,1.0,2.0,327.0
availability_365,48389.0,,,,112.35094752939717,131.37201054394197,0.0,0.0,44.0,225.0,365.0
availability_ratio,48389.0,,,,0.3078108151490334,0.35992331655874515,0.0,0.0,0.1205479452054794,0.6164383561643836,1.0
has_reviews,48389,2,True,38540,,,,,,,
days_since_last_review,48389.0,,,,835.9363698361198,1166.1775147062538,0.0,19.0,186.0,1183.0,3024.0
distance_center_km,48389.0,,,,7.096168842735635,4.425576168659431,0.0684924777509636,3.821400304636164,6.377560831483256,9.400582098605495,35.89825533176907
reviews_per_listing,48389.0,,,,17.19796435377318,35.39112050787069,0.0,0.5,3.5,16.0,540.0
is_multi_listing_host,48389.0,,,,0.3386100146727562,0.47324190528450877,0.0,0.0,0.0,1.0,1.0
neighbourhood_freq,48389.0,,,,0.031130184351113588,0.02581408247489189,2.066585380975015e-05,0.0079150220091343,0.0230010952902519,0.0504660150034098,0.0806588274194548
neighbourhood_group_avg_price,48389.0,,,,141.9101242017814,34.188737495733065,86.88805268109125,118.49889469453376,118.49889469453376,179.16790975200448,179.16790975200448
